Kist,Vakje,Inhoud
Kist 1,Vakje 1,Schuurdopjes
Kist 1,Vakje 2,Batterijen
Kist 1,Vakje 3,Paperclips
Kist 1,Vakje 4,
Kist 1,Vakje 5,USB Volt/Ampere meter
Kist 1,Vakje 6,Horloge Fabienne
Kist 1,Vakje 7,
Kist 1,Vakje 8,
Kist 1,Vakje 9,"Zippo Vuur steen, Zippo Wig"
Kist 1,Vakje 10,PCB Borstel
Kist 1,Vakje 11,Steadler Gum
Kist 1,Vakje 12,Koperdraad hitte geïsoleerd
Kist 1,Vakje 13,"Haakjes, Klimhaken"
Kist 1,Vakje 14,Stoeldopjes
Kist 1,Vakje 15,Tyreps
Kist 1,Vakje 16,Tyreps
Kist 1,Vakje 17,Tyreps
Kist 1,Vakje 18,Tyreps
Kist 1,Vakje 19,
Kist 1,Vakje 20,"Glaslijm, LED lamp voor lijm, Epoxy lijm, Secondenlijm"
Kist 1,Vakje 21,
Kist 1,Vakje 22,
Kist 1,Vakje 23,
Kist 1,Vakje 24,
Kist 1,Vakje 25,
Kist 1,Vakje 26,
Kist 1,Vakje 27,
Kist 1,Vakje 28,RXO Manual
Kist 2,Vakje 1,Integrated Circuits (ICs)
Kist 2,Vakje 2,"2x Mini D1 ESP32"
Kist 2,Vakje 3,"Arduino Nano 33 IoT, Arduino Nano Every"
Kist 2,Vakje 4,"GY-521 - MPU-6050 Accelerometer en Gyroscoop Module, Water Sensor, HC-SR04 - Ultrasone Afstandssensor voor Objectdetectie en Afstandsmeting, Geluid's Sensor"
Kist 2,Vakje 5,"8GB SDHC-kaart, 4GB USB-stick, 64GB USB-stick, 8GB MicroSDHC-kaart, Platte USB, 32GB USB-stick"
Kist 2,Vakje 6,"Raspberry Pi Pico, Esp32 Usb-C Groot"
Kist 2,Vakje 7,Pin headers
Kist 2,Vakje 8,24V-transformator
Kist 2,Vakje 9,Orange Pi Zero
Kist 2,Vakje 10,Korte Jump Wires
Kist 2,Vakje 11,"Relais SRD-05VDC-SL-C, Usb-C to Usb-A"
Kist 2,Vakje 12,"Step Motor 28BYJ-48, Motor Coupler"
Kist 2,Vakje 13,"RFID-RC522, RFID-tag"
Kist 2,Vakje 14,"19264-05 LCD-scherm, 12864 Grafisch LCD-display, 5641AS - 7-segment LED-display, SC56-11EWA - Enkelkleurige LED-indicator"
Kist 2,Vakje 15,Krokodillen klemmen
Kist 2,Vakje 16,Krokodillen klemmen
Kist 2,Vakje 17,Krokodillen klemmen
Kist 2,Vakje 18,Krokodillen klemmen
Kist 2,Vakje 19,"On-Off switch, Power jack, Druk-knop"
Kist 2,Vakje 20,
Kist 2,Vakje 21,
Kist 2,Vakje 22,
Kist 2,Vakje 23,"Voltage StepUp, 3.7V 1500mAh-accu, Battery Shield, Elegoo Power MB V2 - Voedingsmodule voor Arduino-projecten"
Kist 2,Vakje 24,"Potentiometer 5k, Potentiometer 50k"
Kist 2,Vakje 25,L7805CV - Spanningsregelaar (5V, TO-220 behuizing)
Kist 2,Vakje 26,"AUX-poort, 2x AAA Batterij houder"
Kist 2,Vakje 27,Transistors
Kist 2,Vakje 28,"DS04-NFC - Digitale Servomotor met NFC (Near Field Communication) Functionaliteit, Microservo"
Kist 3,Vakje 1,"Weerstand (resistor) 0-10 Ohm"
Kist 3,Vakje 2,"Weerstand (resistor) 22-220 Ohm"
Kist 3,Vakje 3,"Weerstand (resistor) 330-820 Ohm"
Kist 3,Vakje 4,"Weerstand (resistor) 1k-10k Ohm"
Kist 3,Vakje 5,"Weerstand (resistor) 20k- 220k"
Kist 3,Vakje 6,"Weerstand (resistor) 330k-820k Ohm"
Kist 3,Vakje 7,"Weerstand (resistor) 1M-10M Ohm"
Kist 3,Vakje 8,Soldeerpunten
Kist 3,Vakje 9,"DC Motor, Pololu Micro Metal DC motor 6V, 200rpm, Micro Tiny 6mm Coreless DC Motor 3.7V"
Kist 3,Vakje 10,PCB Mask (Nagellak)
Kist 3,Vakje 11,Wielen 43x19mm
Kist 3,Vakje 12,"MX1508 Motor Driver, LOLIN WEMOS HR8833 Motor Driver"
Kist 3,Vakje 13,DC Motor
Kist 3,Vakje 14,"LOLIN WEMOS Uitbreidingsborden, WEMOS LOLIN Relais, WEMOS LOLIN LCD"
Kist 3,Vakje 15,
Kist 3,Vakje 16,
Kist 3,Vakje 17,
Kist 3,Vakje 18,
Kist 3,Vakje 19,ToF (Time of Flight) sensor VL53L0
Kist 3,Vakje 20,Pinecil Soldeerbout
Kist 3,Vakje 21,Pinecil Soldeerbout
Kist 3,Vakje 22,Pinecil Soldeerbout
Kist 3,Vakje 23,Pin Headers
Kist 3,Vakje 24,"esp32 S2 mini, esp32 S3 mini"
Kist 3,Vakje 25,Mini wielen
Kist 3,Vakje 26,Tandwielen
Kist 3,Vakje 27,LiitoKala 18650 accu 3.7V
Kist 3,Vakje 28,
Kist 4,Vakje 1,LED Wit
Kist 4,Vakje 2,LED Blauw
Kist 4,Vakje 3,LED Rood
Kist 4,Vakje 4,LED Geel
Kist 4,Vakje 5,LED Groen
Kist 4,Vakje 6,Kroonsteentjes
Kist 4,Vakje 7,SD kaart lezer voor Microcontroller
Kist 4,Vakje 8,"Joystick voor Microcontroller, MP3 Decoderboard"
Kist 4,Vakje 9,Zekering 1.25A/125V
Kist 4,Vakje 10,Smal koper draad
Kist 4,Vakje 11,
Kist 4,Vakje 12,
Kist 4,Vakje 13,Kroonsteen 2
Kist 4,Vakje 14,Kroonsteen 3
Kist 4,Vakje 15,Condensator's
Kist 4,Vakje 16,Condensator's
Kist 4,Vakje 17,Condensator's
Kist 4,Vakje 18,Condensator's
Kist 4,Vakje 19,
Kist 4,Vakje 20,
Kist 4,Vakje 21,
Kist 4,Vakje 22,
Kist 4,Vakje 23,
Kist 4,Vakje 24,
Kist 4,Vakje 25,
Kist 4,Vakje 26,
Kist 4,Vakje 27,Diodes
Kist 4,Vakje 28,Kroonsteen 5
Kist 5,Vakje 1,"Busboard PCB prototyping boards, Kabel straps"
Kist 5,Vakje 2,DC to DC boost-up/down
Kist 5,Vakje 3,
Kist 5,Vakje 4,"Powerbank, HDMI Splitter"
Kist 5,Vakje 5,Breadboard's
Kist 5,Vakje 6,"NEMA17 Stepper Motor, Oscilloscoop"
Kist 5,Vakje 7,
Kist 5,Vakje 8,HDMI-splitter afstandbediening met sensor
Kist 5,Vakje 9,
Kist 5,Vakje 10,
Kist 5,Vakje 11,
Kist 5,Vakje 12,
Kist 5,Vakje 13,
Kist 5,Vakje 14,
Kist 5,Vakje 15,
Kist 5,Vakje 16,
Kist 5,Vakje 17,
Kist 5,Vakje 18,
Kist 5,Vakje 19,
Kist 5,Vakje 20,
Kist 5,Vakje 21,
Kist 5,Vakje 22,
Kist 5,Vakje 23,
Kist 5,Vakje 24,
Kist 5,Vakje 25,
Kist 5,Vakje 26,
Kist 5,Vakje 27,
Kist 5,Vakje 28,
